カテゴリー,分類群,和名,学名
絶滅危惧ⅠＡ類（CR）,維管束植物,ガシャモク,Potamogeton lucens subsp. sinicus var. teganumensis
絶滅危惧ⅠＡ類（CR）,維管束植物,イヌイトモ,Potamogeton obtusifolius
絶滅危惧ⅠＡ類（CR）,維管束植物,ナガバエビモ,Potamogeton praelongus
絶滅危惧ⅠＡ類（CR）,維管束植物,ネジリカワツルモ,Ruppia megacarpa
絶滅危惧ⅠＡ類（CR）,維管束植物,ヤハズカワツルモ,Ruppia x truncatifolia
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒナノボンボリ,Saionia hyodoi
絶滅危惧ⅠＡ類（CR）,維管束植物,ホシザキシャクジョウ,Saionia shinzatoi
絶滅危惧ⅠＡ類（CR）,維管束植物,ヤクノヒナホシ,Saionia yamashitae
絶滅危惧ⅠＡ類（CR）,維管束植物,タヌキノショクダイ,Thismia abei
絶滅危惧ⅠＡ類（CR）,維管束植物,コウベタヌキノショクダイ,Thismia kobensis
絶滅危惧ⅠＡ類（CR）,維管束植物,ルゾンヤマノイモ,Dioscorea luzonensis
絶滅危惧ⅠＡ類（CR）,維管束植物,ユワンオニドコロ,Dioscorea tabatae
絶滅危惧ⅠＡ類（CR）,維管束植物,アマミタチドコロ,Dioscorea zentaroana
絶滅危惧ⅠＡ類（CR）,維管束植物,コウヅシマソウ,Sciaphila kozushimensis
絶滅危惧ⅠＡ類（CR）,維管束植物,イシガキソウ,Sciaphila multiflora
絶滅危惧ⅠＡ類（CR）,維管束植物,オモトソウ,Sciaphila sugimotoi
絶滅危惧ⅠＡ類（CR）,維管束植物,タカクマソウ,Sciaphila tenella
絶滅危惧ⅠＡ類（CR）,維管束植物,ヤクシマソウ,Sciaphila yakushimensis
絶滅危惧ⅠＡ類（CR）,維管束植物,ホソミアダン,Pandanus daitoensis
絶滅危惧ⅠＡ類（CR）,維管束植物,クロカミシライトソウ,Chionographis koidzumiana var. kurokamiana
絶滅危惧ⅠＡ類（CR）,維管束植物,ウケユリ,Lilium alexandrae
絶滅危惧ⅠＡ類（CR）,維管束植物,キバナスゲユリ,Lilium callosum var. flaviflorum
絶滅危惧ⅠＡ類（CR）,維管束植物,タモトユリ,Lilium nobilissimum
絶滅危惧ⅠＡ類（CR）,維管束植物,サツマホトトギス,Tricyrtis hirta var. masamunei
絶滅危惧ⅠＡ類（CR）,維管束植物,エンレイショウキラン,Acanthephippium pictum
絶滅危惧ⅠＡ類（CR）,維管束植物,タイワンショウキラン,Acanthephippium sylhetense
絶滅危惧ⅠＡ類（CR）,維管束植物,キバナシュスラン,Anoectochilus formosanus
絶滅危惧ⅠＡ類（CR）,維管束植物,コウシュンシュスラン,Anoectochilus koshunensis
絶滅危惧ⅠＡ類（CR）,維管束植物,クスクスラン,Bulbophyllum affine
絶滅危惧ⅠＡ類（CR）,維管束植物,シコウラン,Bulbophyllum macraei var. macraei
絶滅危惧ⅠＡ類（CR）,維管束植物,タネガシマシコウラン,Bulbophyllum macraei var. tanegashimense
絶滅危惧ⅠＡ類（CR）,維管束植物,キソエビネ,Calanthe alpina
絶滅危惧ⅠＡ類（CR）,維管束植物,アマミエビネ,Calanthe amamiana
絶滅危惧ⅠＡ類（CR）,維管束植物,タガネラン,Calanthe davidii var. bungoana
絶滅危惧ⅠＡ類（CR）,維管束植物,タマザキエビネ,Calanthe densiflora
絶滅危惧ⅠＡ類（CR）,維管束植物,ホシツルラン,Calanthe hoshii
絶滅危惧ⅠＡ類（CR）,維管束植物,サクラジマエビネ,Calanthe mannii
絶滅危惧ⅠＡ類（CR）,維管束植物,アリサンムヨウラン,Cheirostylis takeoi
絶滅危惧ⅠＡ類（CR）,維管束植物,モイワラン,Cremastra aphylla
絶滅危惧ⅠＡ類（CR）,維管束植物,シマホザキラン,Crepidium boninense
絶滅危惧ⅠＡ類（CR）,維管束植物,オキナワヒメラン,Crepidium purpureum
絶滅危惧ⅠＡ類（CR）,維管束植物,オオスズムシラン,Cryptostylis arachnites
絶滅危惧ⅠＡ類（CR）,維管束植物,タカオオオスズムシラン,Cryptostylis taiwaniana
絶滅危惧ⅠＡ類（CR）,維管束植物,ヘツカラン,Cymbidium dayanum
絶滅危惧ⅠＡ類（CR）,維管束植物,スルガラン,Cymbidium ensifolium
絶滅危惧ⅠＡ類（CR）,維管束植物,カンラン,Cymbidium kanran
絶滅危惧ⅠＡ類（CR）,維管束植物,コラン,Cymbidium koran
絶滅危惧ⅠＡ類（CR）,維管束植物,アキザキナギラン,Cymbidium lancifolium
絶滅危惧ⅠＡ類（CR）,維管束植物,ホウサイラン,Cymbidium sinense
絶滅危惧ⅠＡ類（CR）,維管束植物,オオナギラン,Cymbidium syunitianum
絶滅危惧ⅠＡ類（CR）,維管束植物,チョウセンキバナアツモリソウ,Cypripedium guttatum
絶滅危惧ⅠＡ類（CR）,維管束植物,ホテイアツモリ,Cypripedium macranthos var. macranthos
絶滅危惧ⅠＡ類（CR）,維管束植物,ドウトウアツモリソウ,Cypripedium shanxiense
絶滅危惧ⅠＡ類（CR）,維管束植物,ホザキヒメラン,Dienia ophrydis
絶滅危惧ⅠＡ類（CR）,維管束植物,サガリラン,Diploprora championii
絶滅危惧ⅠＡ類（CR）,維管束植物,ジョウロウラン,Disperis neilgherrensis
絶滅危惧ⅠＡ類（CR）,維管束植物,オオオサラン,Eria scabrilinguis
絶滅危惧ⅠＡ類（CR）,維管束植物,ホソフデラン,Erythrodes blumei
絶滅危惧ⅠＡ類（CR）,維管束植物,タカツルラン,Erythrorchis altissima
絶滅危惧ⅠＡ類（CR）,維管束植物,タカサゴヤガラ,Eulophia dentata
絶滅危惧ⅠＡ類（CR）,維管束植物,クロシマヤツシロラン,Gastrodia kuroshimensis
絶滅危惧ⅠＡ類（CR）,維管束植物,ツツザキヤツシロラン,Gastrodia okinawensis
絶滅危惧ⅠＡ類（CR）,維管束植物,ナンゴクヤツシロラン,Gastrodia shimizuana
絶滅危惧ⅠＡ類（CR）,維管束植物,ヤブミョウガラン,Goodyera fumata
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒメクリソラン,Hancockia uniflora
絶滅危惧ⅠＡ類（CR）,維管束植物,アワチドリ,Hemipilia graminifolia var. suzukiana
絶滅危惧ⅠＡ類（CR）,維管束植物,クシロチドリ,Herminium monorchis
絶滅危惧ⅠＡ類（CR）,維管束植物,ミスズラン,Herminium pusillum
絶滅危惧ⅠＡ類（CR）,維管束植物,オオカゲロウラン,Hetaeria oblongifolia
絶滅危惧ⅠＡ類（CR）,維管束植物,アマミムヨウラン,Lecanorchis moritae
絶滅危惧ⅠＡ類（CR）,維管束植物,ヤクムヨウラン,Lecanorchis nigricans var. yakusimensis
絶滅危惧ⅠＡ類（CR）,維管束植物,アワムヨウラン,Lecanorchis purpurea
絶滅危惧ⅠＡ類（CR）,維管束植物,タブガワムヨウラン,Lecanorchis tabugawaensis
絶滅危惧ⅠＡ類（CR）,維管束植物,ミドリムヨウラン,Lecanorchis virella
絶滅危惧ⅠＡ類（CR）,維管束植物,コゴメキノエラン,Liparis elliptica
絶滅危惧ⅠＡ類（CR）,維管束植物,シマクモキリソウ,Liparis hostifolia
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒメスズムシソウ,Liparis krameri var. nikkoensis
絶滅危惧ⅠＡ類（CR）,維管束植物,キバナコクラン,Liparis sootenzanensis
絶滅危惧ⅠＡ類（CR）,維管束植物,クモイジガバチ,Liparis truncata
絶滅危惧ⅠＡ類（CR）,維管束植物,ナンバンカモメラン,Macodes petola
